0,1,2
160,232,3
225,3,1
41,136,3
105,208,1
135,134,1
15,18,1
60,45,1
131,43,4
138,107,7
213,47,1
283,267,1
168,43,22
142,123,2
245,43,30
70,75,2
2,178,5
124,117,6
41,172,1
200,64,1
57,81,1
186,96,2
197,104,3
186,150,1
197,111,2
192,1,7
128,136,1
17,71,2
107,2,4
100,76,2
206,218,2
9,137,14
136,11,3
146,149,3
150,199,1
258,166,6
120,30,1
176,182,12
85,174,1
5,42,5
107,3,1
29,32,14
191,270,7
11,165,14
112,0,11
11,167,3
222,130,5
117,177,1
156,230,2
66,47,2
219,251,3
115,99,3
11,151,4
52,13,2
194,110,2
65,49,1
58,98,1
244,196,1
152,226,16
17,34,1
244,199,1
97,206,8
244,147,3
30,34,10
83,179,1
217,170,4
57,84,1
164,43,29
11,180,6
12,22,10
97,85,1
12,5,1
116,152,2
246,189,1
213,217,4
10,11,2
97,185,1
129,11,2
104,105,1
67,19,1
257,169,1
12,87,1
66,3,1
105,32,1
6,2,4
97,83,4
232,230,1
195,177,1
203,237,2
197,198,5
276,267,1
206,193,3
120,97,2
105,85,4
102,5,1
51,36,1
279,96,15
274,233,1
89,46,2
17,22,7
8,217,1
33,111,1
282,194,2
155,230,16
97,2,4
97,197,2
90,6,1
49,46,4
223,117,2
224,130,2
1,3,48
85,116,3
109,111,1
49,2,1
3,173,17
282,201,1
45,78,1
129,211,4
116,177,1
180,181,1
92,85,2
252,226,7
55,43,6
57,2,5
220,43,8
169,206,1
163,272,23
28,29,6
246,11,27
110,144,1
5,74,11
98,3,3
247,124,28
70,19,1
59,13,1
115,21,1
199,43,8
124,3,1
11,159,4
141,181,1
249,166,1
74,22,2
205,94,4
139,126,1
171,136,4
144,186,1
148,144,1
141,129,1
136,71,1
236,237,1
194,212,7
66,217,1
106,107,6
137,12,2
17,46,2
5,72,7
161,230,23
136,252,2
3,161,1
260,116,4
123,137,2
97,118,1
198,144,1
238,1,3
201,226,1
97,190,1
14,20,4
48,43,14
247,189,1
94,66,1
144,199,1
162,163,1
31,48,1
141,156,1
217,74,1
224,55,1
171,265,3
219,255,2
265,43,18
132,196,1
161,268,1
2,188,1
2,116,1
117,192,1
214,83,10
273,43,15
148,3,1
170,41,2
113,12,1
205,95,1
102,4,1
283,274,1
44,43,8
2,161,1
2,181,1
133,134,2
131,83,2
61,19,1
26,29,1
212,216,12
275,272,1
171,231,4
23,47,1
194,189,5
167,232,4
111,63,3
229,230,7
61,63,2
123,113,3
269,43,15
149,38,1
41,97,2
62,46,2
264,274,6
115,12,4
