0,1,2
116,158,3
8,4,1
149,201,3
1,160,9
168,269,1
62,128,3
62,84,1
62,17,2
61,63,2
92,42,4
152,160,1
68,49,3
149,117,1
30,47,1
94,203,4
154,160,1
208,130,2
27,121,10
1,182,2
34,43,10
198,225,2
117,165,1
247,136,3
62,92,3
110,85,7
26,37,1
257,124,2
37,63,2
117,180,1
163,267,1
202,7,2
206,117,6
225,165,2
202,186,4
70,3,5
191,43,22
16,40,1
6,72,1
244,232,4
132,195,4
111,43,4
246,247,2
124,136,9
25,63,2
12,42,7
194,213,2
157,43,15
94,118,2
249,166,1
120,108,3
148,85,2
118,11,2
51,83,1
254,1,6
212,36,1
31,42,3
108,3,2
107,84,5
131,13,1
2,116,1
228,254,1
99,18,1
20,105,1
190,115,1
225,1,1
176,252,4
169,254,1
17,72,3
131,47,3
224,38,1
26,19,2
239,171,2
29,5,2
187,43,10
104,98,3
82,64,4
58,65,6
92,215,2
97,1,2
26,30,11
224,124,2
86,102,1
123,0,1
117,193,24
100,21,2
105,2,1
291,43,1
245,174,1
109,111,1
245,267,2
30,3,1
158,199,1
1,180,6
105,85,4
150,199,1
124,159,1
58,90,1
25,48,1
260,116,4
85,157,2
5,72,7
3,153,2
109,5,1
97,197,2
225,194,1
193,169,1
293,43,1
105,74,2
11,152,9
198,83,1
216,124,2
85,186,1
148,38,2
225,117,1
129,212,2
164,43,29
115,102,1
231,43,22
40,22,3
103,63,5
81,72,4
190,108,2
171,200,3
123,113,3
17,16,1
133,6,2
134,104,1
66,86,2
62,82,1
2,195,6
183,97,1
206,186,4
244,218,2
117,191,1
223,189,3
221,111,5
191,233,9
118,173,1
112,148,7
39,42,6
186,96,2
202,100,1
1,157,2
122,102,3
134,106,6
83,157,2
129,6,1
11,160,9
269,268,2
14,3,3
215,171,2
70,55,2
149,121,4
222,103,6
159,199,1
117,150,1
70,82,3
129,47,1
132,131,1
171,169,1
133,127,5
168,270,22
171,184,3
57,6,1
117,178,3
20,76,2
112,0,11
101,3,4
210,209,2
53,10,1
152,226,16
203,97,7
37,32,4
190,116,3
115,83,6
53,55,3
253,43,18
11,182,2
83,155,2
144,194,1
215,117,1
110,2,1
176,182,12
7,101,2
11,164,7
146,138,1
18,19,1
117,166,1
97,206,8
225,227,7
0,130,2
190,119,2
217,129,3
104,88,1
168,43,22
204,201,1
252,152,1
271,270,2
118,203,4
47,43,4
144,190,3
192,1,7
124,263,1
49,50,2
89,76,1
0,129,16
209,47,2
147,194,1
4,10,1
149,27,2
173,189,1
6,2,4
58,5,9
31,80,3
