0,1,2
213,0,1
110,8,1
70,55,2
137,113,1
104,107,8
12,5,1
148,197,1
213,43,5
254,116,1
203,189,2
249,203,1
216,189,1
199,43,8
236,232,1
116,151,2
14,18,5
104,102,3
188,236,6
141,107,1
141,43,24
141,190,4
202,147,1
18,79,3
85,116,3
49,34,4
152,165,1
144,140,4
203,117,6
229,218,4
101,0,4
219,255,2
9,12,5
108,1,5
60,48,1
137,0,1
1,157,2
160,230,6
2,181,1
225,3,1
68,86,1
223,117,2
1,162,9
152,166,1
231,154,1
46,43,11
69,63,1
203,244,1
214,97,2
141,119,1
161,43,29
225,171,1
171,266,2
83,186,1
109,85,2
62,23,1
82,40,1
128,117,14
49,42,1
11,177,3
98,5,10
139,0,3
20,74,1
104,110,2
118,3,4
52,12,1
30,57,8
118,85,5
109,27,1
247,1,27
69,16,6
192,213,2
116,166,1
171,116,6
83,154,2
94,60,1
17,42,1
30,28,1
129,46,2
201,144,2
66,128,3
232,188,1
84,59,3
51,5,4
256,171,3
90,22,1
252,272,1
66,105,1
198,122,5
203,186,4
224,55,1
15,116,1
52,45,2
92,24,1
237,43,10
51,8,2
171,128,1
116,155,1
96,226,1
225,83,4
49,46,4
65,50,2
19,129,2
49,43,12
41,97,2
219,251,3
186,3,1
276,267,1
194,213,2
212,189,5
18,58,5
73,43,3
53,50,4
277,268,1
13,2,2
244,186,1
150,43,1
65,66,2
151,267,2
160,43,29
61,2,1
203,237,2
260,116,4
13,12,3
111,222,3
108,105,1
109,5,1
26,35,2
155,230,16
71,92,1
100,21,2
126,95,1
30,6,10
277,270,9
123,113,3
63,43,5
18,69,2
207,125,5
181,43,10
18,16,2
47,22,1
182,43,8
62,84,1
89,186,2
144,190,3
192,0,1
190,140,1
194,84,1
114,125,3
122,201,11
117,173,6
104,51,1
223,136,1
12,74,20
70,54,6
283,226,1
3,159,6
1,167,2
106,6,4
69,4,1
83,188,1
141,185,3
57,60,1
130,131,3
64,83,2
215,117,1
116,117,4
146,113,1
110,186,5
168,233,1
94,239,6
192,209,4
8,23,4
194,113,5
97,190,1
165,43,29
197,85,2
58,57,1
293,43,1
170,216,11
206,232,1
250,43,1
62,7,5
191,157,1
66,11,5
122,7,1
186,159,1
170,41,2
97,185,1
111,63,3
148,214,1
51,47,1
272,43,25
145,146,4
264,43,18
120,1,2
110,1,2
58,26,2
249,43,1
15,72,2
232,43,29
171,85,6
240,15,1
11,165,14
283,141,1
187,270,2
136,132,1
132,177,1
231,218,1
168,272,7
286,43,1
64,2,3
3,160,4
62,224,5
16,52,2
