0,1,2
21,54,2
88,59,4
145,146,4
212,2,2
30,3,1
105,74,2
154,188,18
105,32,1
258,166,6
20,1,3
7,3,2
56,50,3
57,68,3
124,255,2
224,197,1
129,83,2
124,170,3
14,25,2
53,48,4
281,237,1
141,43,24
147,121,7
65,66,2
206,189,2
8,212,4
3,172,8
118,171,3
221,71,3
104,106,2
194,212,7
236,43,23
214,122,1
65,67,1
214,131,2
124,3,1
33,46,2
11,156,4
144,38,1
76,34,1
203,171,2
227,122,1
41,118,2
37,43,9
100,113,2
70,39,4
277,267,7
159,218,1
291,43,1
12,45,10
14,18,5
62,70,1
26,35,2
122,202,6
86,235,1
225,124,1
171,266,2
155,188,2
16,52,2
1,183,12
133,27,1
222,130,5
161,268,1
170,216,11
46,213,6
75,73,2
205,41,3
210,73,6
113,12,1
75,42,5
16,40,1
41,97,2
19,131,1
193,169,1
210,30,1
162,163,1
46,47,3
191,268,22
170,212,22
2,179,1
89,14,2
144,92,1
52,85,1
30,2,14
31,28,1
106,190,1
225,228,4
225,1,1
157,233,2
100,2,1
141,237,5
205,95,1
68,86,1
1,184,2
95,59,1
26,27,1
0,128,2
190,172,1
91,3,2
203,189,2
129,47,1
295,189,1
219,251,3
244,274,4
150,199,1
136,103,3
13,113,5
12,73,10
132,177,1
283,274,1
74,43,3
176,166,5
225,97,1
51,83,1
1,175,14
148,103,1
62,100,1
58,57,1
171,116,6
256,124,6
29,5,2
115,0,5
212,216,12
90,22,1
78,189,1
190,131,2
129,72,2
115,112,7
49,46,4
44,43,8
114,127,2
229,230,7
264,275,15
200,4,2
122,83,1
143,144,14
244,218,2
94,171,2
170,245,1
283,220,1
2,196,1
17,50,2
237,230,2
141,180,1
11,150,1
69,4,1
3,154,1
10,2,4
179,180,1
56,20,1
30,34,10
136,83,1
203,186,4
257,11,1
184,216,1
1,7,1
223,136,1
69,25,4
217,74,1
200,5,2
11,180,6
108,5,2
141,201,2
194,8,3
31,48,1
128,223,2
102,10,1
228,122,1
240,85,4
252,152,1
58,98,1
134,5,1
6,2,4
150,158,1
103,221,1
229,153,1
56,60,3
25,43,9
144,140,4
64,83,2
280,43,18
212,36,1
243,282,3
58,13,5
262,43,18
100,97,4
82,24,1
75,3,3
203,218,2
129,212,2
111,71,4
92,47,3
92,103,2
15,0,6
62,23,1
255,11,1
118,122,2
115,11,2
226,43,8
26,33,1
97,124,2
15,83,1
203,251,2
188,236,6
138,127,9
15,117,4
151,267,2
288,43,1
117,166,1
41,85,3
121,204,2
49,51,1
142,121,3
10,12,6
190,162,1
