0,1,2
141,168,1
219,117,1
23,43,8
74,22,2
100,97,4
257,136,5
101,135,2
169,206,1
240,0,2
11,174,10
183,97,1
277,96,9
155,43,15
205,158,2
129,6,1
104,98,3
227,228,11
12,74,20
11,173,2
69,4,1
243,282,3
35,48,1
115,12,4
122,103,1
86,43,3
30,3,1
200,64,1
187,270,2
255,116,1
114,121,4
245,174,1
292,43,1
61,63,2
81,45,4
11,177,3
149,27,2
242,189,1
194,113,5
94,203,4
273,43,15
11,164,7
138,102,1
244,275,10
40,22,3
45,43,9
171,116,6
190,214,3
18,58,5
171,266,2
186,219,1
49,22,3
198,201,9
58,32,5
116,193,1
51,47,1
120,121,11
225,97,1
108,117,1
210,73,6
227,254,5
211,72,6
122,197,4
215,124,4
26,38,1
11,180,6
40,47,3
92,100,1
176,166,5
222,130,5
64,97,2
215,117,1
192,194,6
201,186,1
133,6,2
84,43,9
101,12,7
171,128,1
136,12,1
61,18,8
200,5,2
1,150,1
95,59,1
274,43,29
58,14,1
257,11,1
149,121,4
85,174,1
83,85,4
70,82,3
118,122,2
85,116,3
204,83,1
3,150,5
170,212,22
144,194,1
51,98,5
148,139,2
65,49,1
223,189,3
19,129,2
231,230,22
12,5,1
114,113,7
139,0,3
193,11,7
1,66,2
11,162,9
172,177,1
6,58,5
116,124,4
136,129,1
105,129,5
19,74,1
215,14,1
166,220,1
271,43,15
117,150,1
163,272,23
108,121,9
190,43,25
8,6,1
71,213,1
117,193,24
159,43,29
92,42,4
219,118,1
70,13,2
148,103,1
194,249,1
122,117,1
33,71,3
11,151,4
130,131,3
83,174,1
194,209,4
108,105,1
225,117,1
11,169,10
107,2,4
169,255,1
15,117,4
283,243,1
119,101,7
231,43,22
202,100,1
49,46,4
31,20,1
15,97,2
70,75,2
118,141,2
12,47,10
92,24,1
191,43,22
41,167,1
3,167,2
126,112,2
110,171,7
190,118,2
14,25,2
262,43,18
56,48,2
124,261,1
269,43,15
62,12,1
1,154,2
2,154,1
7,101,2
100,21,2
2,195,6
254,256,2
136,184,63
15,113,1
1,164,7
205,224,3
212,83,1
111,43,4
11,172,1
197,85,2
264,275,15
124,153,2
30,46,3
1,162,9
175,226,2
98,6,12
198,184,1
104,51,1
132,71,4
53,50,4
168,276,9
136,231,1
97,171,4
5,45,9
140,148,4
175,248,3
61,58,9
161,274,3
124,85,16
179,180,1
191,230,1
224,97,1
147,198,1
202,186,4
197,109,1
149,141,2
61,46,3
58,98,1
202,7,2
171,253,1
82,24,1
97,2,4
184,216,1
228,256,5
62,224,5
30,2,14
