0,1,2
59,13,1
1,161,12
136,253,2
83,150,1
65,37,1
27,121,10
70,13,2
141,115,2
117,155,1
85,186,1
36,189,1
158,196,1
243,282,3
277,267,7
190,145,1
136,2,8
206,117,6
257,11,1
92,46,1
2,185,17
283,274,1
72,43,3
120,114,1
13,117,1
103,43,4
175,43,10
67,35,1
117,158,3
135,0,1
276,267,1
108,116,5
116,177,1
83,117,3
190,115,1
106,5,4
190,108,2
122,7,1
26,36,2
56,59,1
154,196,4
90,11,1
235,73,1
223,11,10
57,44,5
256,124,6
176,220,3
29,5,2
181,274,8
1,3,48
113,129,1
142,134,2
11,160,9
141,119,1
66,58,1
114,9,4
116,162,3
104,109,6
110,200,1
30,6,10
58,65,6
194,113,5
117,191,1
114,106,12
206,1,6
121,204,2
223,85,2
33,111,1
120,30,1
191,43,22
202,117,2
110,129,1
194,96,4
191,156,1
52,77,1
148,122,2
206,118,3
171,78,1
147,218,1
23,47,1
245,276,8
177,43,10
217,189,5
158,199,1
66,211,1
112,100,1
205,77,1
116,160,6
177,196,3
238,128,1
129,11,2
85,11,25
76,73,4
59,43,10
70,19,1
3,161,1
25,50,1
225,3,1
102,5,1
117,193,24
257,169,1
136,252,2
171,159,1
122,202,6
148,144,1
25,48,1
5,46,8
193,1,7
143,144,14
137,12,2
108,1,5
217,130,1
51,20,1
131,47,3
197,198,5
272,43,25
214,202,3
117,85,1
31,28,1
186,172,5
165,220,1
173,189,1
29,32,14
83,162,1
5,22,12
171,95,4
168,269,1
115,140,1
17,72,3
126,0,2
100,0,1
64,97,2
8,212,4
215,171,2
225,83,4
7,101,2
139,140,1
103,221,1
243,194,1
113,132,2
131,83,2
124,77,2
26,19,2
86,46,3
113,131,14
69,16,6
148,118,1
224,124,2
70,89,2
197,102,3
129,73,3
82,64,4
234,210,3
124,83,4
198,85,8
114,123,2
7,102,2
217,144,1
58,21,5
160,188,23
246,136,3
101,135,2
156,43,15
229,153,1
101,134,1
14,19,6
194,249,1
108,121,9
0,128,2
134,9,12
182,43,8
28,29,6
168,268,9
40,3,2
105,83,3
42,43,7
228,254,1
51,31,1
130,92,1
227,136,2
82,20,1
217,84,1
122,97,2
17,16,1
28,49,1
127,106,11
183,41,1
1,154,2
206,189,2
75,73,2
188,236,6
11,166,5
108,110,1
256,117,1
275,272,1
30,76,3
2,179,1
1,117,72
208,47,1
114,137,1
108,3,2
120,117,2
92,103,2
168,43,22
229,218,4
103,130,3
212,2,2
1,66,2
238,113,1
41,97,2
83,157,2
231,43,22
12,45,10
1,185,2
255,11,1
