0,1,2
5,34,8
284,43,1
11,181,4
110,2,1
31,28,1
41,167,1
124,252,4
118,203,4
124,168,3
201,83,5
195,43,10
116,150,1
10,11,2
19,208,1
134,106,6
15,83,1
58,38,1
198,226,1
213,0,1
13,85,1
133,98,1
225,117,1
2,188,1
75,3,3
117,173,6
70,13,2
162,43,29
224,197,1
164,165,1
129,72,2
30,48,2
152,226,16
192,13,1
35,92,2
139,140,1
39,21,3
122,200,1
92,100,1
186,150,1
156,230,2
155,188,2
105,2,1
210,209,2
70,3,5
141,237,5
164,248,23
243,192,2
25,50,1
117,180,1
90,76,3
61,19,1
176,96,2
124,265,3
161,230,23
206,171,2
124,253,1
197,111,2
137,112,2
177,178,1
231,232,4
66,86,2
184,189,4
56,60,3
263,274,15
15,72,2
190,237,2
211,72,6
26,19,2
20,11,5
217,74,1
140,148,4
228,254,1
205,94,4
51,32,3
49,2,1
214,97,2
2,181,1
49,44,1
217,216,1
41,136,3
65,46,1
141,185,3
8,235,1
141,168,1
4,12,4
130,11,5
89,73,1
17,34,1
136,88,3
99,102,2
116,158,3
98,6,12
159,196,23
53,39,7
256,116,1
118,198,5
104,8,2
194,189,5
149,86,2
229,199,1
68,47,1
255,116,1
11,160,9
37,48,2
1,158,4
61,2,1
275,272,1
131,209,1
88,43,9
116,166,1
126,4,3
171,231,4
254,116,1
225,202,1
208,63,1
215,117,1
30,65,3
198,201,9
145,141,1
282,43,8
51,98,5
52,3,5
86,46,3
217,130,1
40,3,2
134,104,1
168,43,22
225,165,2
49,47,1
46,47,3
137,121,4
4,11,3
200,118,1
219,1,1
81,72,4
134,0,7
114,138,3
164,43,29
245,43,30
30,34,10
203,43,7
118,85,5
129,210,12
240,23,2
203,1,6
41,171,2
105,74,2
192,213,2
3,179,1
271,163,1
62,128,3
19,209,1
204,197,1
13,11,1
94,124,2
283,186,1
159,43,29
39,41,2
117,171,2
66,97,1
171,266,2
12,87,1
15,116,1
57,94,1
58,4,1
186,172,5
9,137,14
171,253,1
18,21,2
98,3,3
185,189,1
57,87,1
33,46,2
227,136,2
88,211,2
228,122,1
223,83,4
237,43,10
5,45,9
169,1,4
52,74,4
116,151,2
94,71,1
253,176,1
8,3,2
191,43,22
100,21,2
94,60,1
207,125,5
57,19,4
154,160,1
203,3,3
97,185,1
136,129,1
1,85,2
14,3,3
84,210,2
30,47,1
11,15,3
26,34,2
167,274,9
69,48,5
144,199,1
135,114,1
56,57,1
8,6,1
69,25,4
26,2,4
118,89,2
244,275,10
240,0,2
57,68,3
85,150,1
150,199,1
